QUESTION NO,CATEGORY,RAD VS OTHER,PERCENTAGE WEIGHTAGE for the individual category,,,,,,,,,,,
1,SAFETY,DEPARTMENT,20,,,,,,,,,,,
2,SAFETY,DEPARTMENT,30,,,,,,PRODUCTIVITY,10,As of now subjective,,,
3,SAFETY,DEPARTMENT,20,,,,,,EFFICIENCY,20,As of now subjective,,,
4,QUALITY,DEPARTMENT,25,,,,,,QUALITY,30,,,,
5,QUALITY,DEPARTMENT,25,,,,,,SAFETY,40,,,,
6,QUALITY,DEPARTMENT,25,,,,,,,,,,,
7,QUALITY,RADIOLOGIST,10,,,,,,,,,SPEQ,90,5 STAR
8,QUALITY,DEPARTMENT,25,,,,,,,,,,80-90,4 STAR
9,QUALITY,RADIOLOGIST,10,,,,,,,,,,60-80,3 STAR
10,SAFETY,RADIOLOGIST,10,,,,,,,,,,40-60,2 STAR
11,QUALITY,RADIOLOGIST,25,,,,,,,,,,20-40,1 STAR
12,QUALITY,RADIOLOGIST,20,,,,,,,,,,,
12,SAFETY,RADIOLOGIST,10,,,,,,,,,,,
13,QUALITY,RADIOLOGIST,25,,,,,,,,,,,
14,SAFETY,RADIOLOGIST,10,,,,,,,,,,,
15,SAFETY,RADIOLOGIST,20,,,,,,,,,,,
16,QUALITY,RADIOLOGIST,10,,,,,,,,,,,
17,SAFETY,RADIOLOGIST,50,,,,,,,,,,,
PERCENTAGE OF CASES AUDITED,SAFETY,DEPARTMENT,30,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,QUALITY,200,,,,SAFETY,200,,,,
,,,,QUALITY DEPARTMENT,100,,,,SAFETY DEPARTMENT,100,,,,
,,,,QUALITY RADIOLOGIST,100,,,,SAFETY RADIOLOGIST,100,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,PRODUCTIVITY,,,,,EFFICIENCY,,,,,
,,,,PRODUCTIVITY DEPARTMENT,50%,,,,EFFICIENCY DEPARTMENT,50%,,,,
,,,,PRODUCTIVITY RADIOLOGIST,50%,,,,EFFICIENCY RADIOLOGIST,50%,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,EFFICIENCY TAT ADHERENCE,>90,100,,,
,,,,,,,,,,80-90,80,,,
,,,,,,,,,,70-80,60,,,
,,,,,,,,,,50-70,50,,,
,,,,,,,,,,<50,25,,,
